layer,treatment,x,y,ymin,ymax,xend,label
bar,PBS,1,11.417963636363636,9.892830355137326,12.943096917589946,,
bar,Pyroptosis Circuit,2,6.466687127272727,6.1032723141935685,6.830101940351885,,
point,PBS,0.9708717548288405,8.658000000000001,,,,
point,PBS,1.1333190621808171,10.7599,,,,
point,PBS,1.1670727930963039,9.4165,,,,
point,PBS,0.8636052230373025,13.575999999999999,,,,
point,PBS,1.1819473238661886,6.9715,,,,
point,PBS,0.8493255905807018,21.8729,,,,
point,PBS,0.8842711296863854,8.416,,,,
point,PBS,0.8440113076940179,13.4193,,,,
point,PBS,0.9187884809449315,8.342600000000001,,,,
point,PBS,1.1887724410742522,5.4978,,,,
point,PBS,1.1688191959634424,18.6671,,,,
point,Pyroptosis Circuit,1.8466112163849175,5.8419244,,,,
point,Pyroptosis Circuit,1.9131298387423157,6.2992126,,,,
point,Pyroptosis Circuit,1.9997751812450588,6.3182527,,,,
point,Pyroptosis Circuit,2.071504275500774,6.9419238,,,,
point,Pyroptosis Circuit,2.0997219547629355,5.8333333000000005,,,,
point,Pyroptosis Circuit,1.9752189444378019,5.4012346,,,,
point,Pyroptosis Circuit,1.9483092319220305,5.2372426,,,,
point,Pyroptosis Circuit,2.0844880684278904,6.3122924,,,,
point,Pyroptosis Circuit,2.097243010811508,7.9819894,,,,
point,Pyroptosis Circuit,2.132092688139528,5.6903766000000005,,,,
point,Pyroptosis Circuit,2.085625132266432,9.275775999999999,,,,
bracket,,1,23.32,,,2,**
reference,,,10.671817166666667,,,,
