plot,layer,selection,challenge,culture,x,y,ymin,ymax
Dose response,point,RMC-7977,RMC-7977,M9,1,58.58843537414966,,
Dose response,point,RMC-7977,RMC-7977,M9,10,42.60204081632653,,
Dose response,point,RMC-7977,Circuit,M11,40,100,,
Dose response,point,RMC-7977,Circuit,M11,80,112.80087527352298,,
Dose response,point,RMC-7977,Circuit,M11,160,116.63019693654266,,
Dose response,point,RMC-7977,Circuit,M11,320,105.14223194748358,,
Dose response,point,RMC-7977,Circuit,M11,640,28.88402625820569,,
Dose response,point,RMC-7977,Circuit,M11,1280,7.308533916849015,,
Dose response,point,RMC-7977,Circuit,M12,40,100,,
Dose response,point,RMC-7977,Circuit,M12,80,99.19946631087392,,
Dose response,point,RMC-7977,Circuit,M12,160,89.25950633755836,,
Dose response,point,RMC-7977,Circuit,M12,320,74.51634422948632,,
Dose response,point,RMC-7977,Circuit,M12,640,10.366911274182788,,
Dose response,point,RMC-7977,Circuit,M12,1280,3.6424282855236823,,
Dose response,point,RMC-7977,Circuit,M9,40,100,,
Dose response,point,RMC-7977,Circuit,M9,80,102.54515599343186,,
Dose response,point,RMC-7977,Circuit,M9,160,104.35139573070606,,
Dose response,point,RMC-7977,Circuit,M9,320,82.75862068965517,,
Dose response,point,RMC-7977,Circuit,M9,640,10.082101806239738,,
Dose response,point,RMC-7977,Circuit,M9,1280,5.303776683087028,,
Dose response,point,Circuit,Sotorasib,M1,1e-4,100,,
Dose response,point,Circuit,Sotorasib,M1,0.001,99.53488372093024,,
Dose response,point,Circuit,Sotorasib,M1,0.01,80.93023255813954,,
Dose response,point,Circuit,Sotorasib,M1,0.1,52.74418604651163,,
Dose response,point,Circuit,Sotorasib,M1,1,37.06976744186046,,
Dose response,point,Circuit,Sotorasib,M1,10,29.674418604651166,,
Dose response,point,Circuit,Sotorasib,M3,1e-4,100,,
Dose response,point,Circuit,Sotorasib,M3,0.001,97.02056231640789,,
Dose response,point,Circuit,Sotorasib,M3,0.01,77.33948804028536,,
Dose response,point,Circuit,Sotorasib,M3,0.1,43.60050356693244,,
Dose response,point,Circuit,Sotorasib,M3,1,26.731011330255978,,
Dose response,point,Circuit,Sotorasib,M3,10,20.268569030633653,,
Dose response,point,Circuit,Sotorasib,M4,1e-4,100,,
Dose response,point,Circuit,Sotorasib,M4,0.001,100.41152263374487,,
Dose response,point,Circuit,Sotorasib,M4,0.01,83.04526748971193,,
Dose response,point,Circuit,Sotorasib,M4,0.1,54.65020576131687,,
Dose response,point,Circuit,Sotorasib,M4,1,37.489711934156375,,
Dose response,point,Circuit,Sotorasib,M4,10,29.79423868312757,,
Dose response,point,Circuit,RMC-7977,M1,1e-4,100,,
Dose response,point,Circuit,RMC-7977,M1,0.001,85.4677565849228,,
Dose response,point,Circuit,RMC-7977,M1,0.01,53.86012715712988,,
Dose response,point,Circuit,RMC-7977,M1,0.1,32.42506811989101,,
Dose response,point,Circuit,RMC-7977,M1,1,21.071752951861946,,
Dose response,point,Circuit,RMC-7977,M1,10,12.188919164396003,,
Dose response,point,Circuit,RMC-7977,M3,1e-4,100,,
Dose response,point,Circuit,RMC-7977,M3,0.001,77.37864077669903,,
Dose response,point,Circuit,RMC-7977,M3,0.01,48.640776699029125,,
Dose response,point,Circuit,RMC-7977,M3,0.1,26.475728155339805,,
Dose response,point,Circuit,RMC-7977,M3,1,15.864077669902912,,
Dose response,point,Circuit,RMC-7977,M3,10,8.475728155339805,,
Dose response,point,Circuit,RMC-7977,M4,1e-4,100,,
Dose response,point,Circuit,RMC-7977,M4,0.001,85.35433070866142,,
Dose response,point,Circuit,RMC-7977,M4,0.01,56.14173228346456,,
Dose response,point,Circuit,RMC-7977,M4,0.1,33.85826771653544,,
Dose response,point,Circuit,RMC-7977,M4,1,20.393700787401574,,
Dose response,point,Circuit,RMC-7977,M4,10,12.062992125984252,,
Dose response,point,Circuit,Circuit,M1,40,100,,
Dose response,point,Circuit,Circuit,M1,80,103.10262529832937,,
Dose response,point,Circuit,Circuit,M1,160,100.04773269689737,,
Dose response,point,Circuit,Circuit,M1,320,73.74701670644392,,
Dose response,point,Circuit,Circuit,M1,640,2.267303102625298,,
Dose response,point,Circuit,Circuit,M1,1280,1.5785202863961814,,
Dose response,point,Circuit,Circuit,M3,40,100,,
Dose response,point,Circuit,Circuit,M3,80,95.61364643331856,,
Dose response,point,Circuit,Circuit,M3,160,81.47984049623393,,
Dose response,point,Circuit,Circuit,M3,320,55.38325210456358,,
Dose response,point,Circuit,Circuit,M3,640,1.7190961453256535,,
Dose response,point,Circuit,Circuit,M3,1280,1.3079308817013735,,
Dose response,point,Circuit,Circuit,M4,40,100,,
Dose response,point,Circuit,Circuit,M4,80,101.67364016736403,,
Dose response,point,Circuit,Circuit,M4,160,96.23430962343096,,
Dose response,point,Circuit,Circuit,M4,320,72.00836820083683,,
Dose response,point,Circuit,Circuit,M4,640,2.3807531380753137,,
Dose response,point,Circuit,Circuit,M4,1280,1.4895397489539748,,
Dose response,reference,,Sotorasib,,1e-4,100,100,100
Dose response,reference,,Sotorasib,,0.001,103.55564224244691,100,107.53138075313808
Dose response,reference,,Sotorasib,,0.01,106.50903362425443,103.125,113.20754716981132
Dose response,reference,,Sotorasib,,0.1,76.80358340959826,71.28755364806867,80.97909229984703
Dose response,reference,,Sotorasib,,1,50.573808645594774,45.53648068669528,54.9209586945436
Dose response,reference,,Sotorasib,,10,48.46818960985866,43.99141630901288,54.97195308516063
Dose response,reference,,RMC-7977,,1e-4,100,100,100
Dose response,reference,,RMC-7977,,0.001,89.44045025267822,84.29217840982547,99.92727272727274
Dose response,reference,,RMC-7977,,0.01,54.64204182358758,49.256625727213965,61.163636363636364
Dose response,reference,,RMC-7977,,0.1,34.33192765574889,31.803490627020036,37.09090909090909
Dose response,reference,,RMC-7977,,1,23.02952115931111,20.918727915194346,24.87272727272727
Dose response,reference,,RMC-7977,,10,16.180548633611124,14.245283018867925,17.17314487632509
Dose response,reference,,Circuit,,40,100,100,100
Dose response,reference,,Circuit,,80,104.28489223902746,100.42194092827003,107.35930735930737
Dose response,reference,,Circuit,,160,103.1926147084587,97.8902953586498,108.19009100101111
Dose response,reference,,Circuit,,320,69.59794496060974,59.57142857142858,74.67138523761375
Dose response,reference,,Circuit,,640,2.579931789131053,1.9190476190476191,3.33164812942366
Dose response,reference,,Circuit,,1280,1.8399834887042337,1.559915611814346,2.029828109201213
Cross potency,bar,RMC-7977,Circuit,,2,0.09531229414526128,,
Cross potency,bar,Sotorasib,Circuit,,1,-0.0096101550554997,,
Cross residual,bar,RMC-7977,Circuit,,2,5.418246295153241,,
Cross residual,bar,Sotorasib,Circuit,,1,2.5547907135031083,,
Matched potency,bar,Circuit,Circuit,,3,-0.03325831789477642,,
Matched potency,bar,RMC-7977,RMC-7977,,2,1.486699789939637,,
