treatment,perk,casp3,xmin,xmax,ymin,ymax
LNP Circuit,74.6458777905438,68.53341842472965,64.94785331654325,84.34390226454437,65.47664724763891,71.59018960182038
Neg. Control,100,4.556409928493493,89.44482900925993,110.55517099074007,1.4263650748502705,7.686454782136716
RMC-7977,39.609674887442104,11.09863991399375,37.44395665789896,41.77539311698525,6.204395181335829,15.992884646651671
Sotorasib,41.8291174027226,8.088369800596787,32.87009150906003,50.78814329638517,3.4817617356942865,12.694977865499288
