layer,comparison,x,y,color,label
bar,Sotorasib 1 µM,5,,Sotorasib,
bar,Sotorasib 1 µM,-15,,Sotorasib,
bar,RMC 30 nM,1850,,RMC-7977,
bar,RMC 30 nM,-1572,,RMC-7977,
bar,LNP negative control,770,,Negative control,
bar,LNP negative control,-138,,Negative control,
bar,LNP positive control,2079,,Positive control,
bar,LNP positive control,-4087,,Positive control,
bar,Sensor high,2,,Circuit,
bar,Sensor high,-13,,Circuit,
bar,Sensor high + Casp3,168,,Circuit,
bar,Sensor high + Casp3,-87,,Circuit,
point,RMC-7977 30 nM,-3.82357514615438,29.75399178539199,DE (RMC),
point,RMC-7977 30 nM,3.43043763679667,29.750660253547856,DE (RMC),
point,RMC-7977 30 nM,2.8375656856376,29.750660253547856,DE (RMC),
point,RMC-7977 30 nM,2.43953901912266,29.419840318711845,DE (RMC),
point,RMC-7977 30 nM,3.19808861592058,29.371704284747555,DE (RMC),
point,RMC-7977 30 nM,-4.10113640647268,29.320949504265066,DE (RMC),
point,RMC-7977 30 nM,-4.30446419541246,29.27288120625528,DE (RMC),
point,RMC-7977 30 nM,-2.57462047340596,29.093932567523535,DE (RMC),
point,RMC-7977 30 nM,-3.82153594293602,28.90966824102062,DE (RMC),
point,RMC-7977 30 nM,-4.19014020240618,28.863420766568545,DE (RMC),
point,RMC-7977 30 nM,-4.31966248634383,28.861946453470473,DE (RMC),
point,RMC-7977 30 nM,-5.15538747703269,28.72485457252125,DE (RMC),
point,RMC-7977 30 nM,-2.37677311812055,28.619995752987744,DE (RMC),
point,RMC-7977 30 nM,2.80336236563334,28.608044482434302,DE (RMC),
point,RMC-7977 30 nM,-4.00194018761005,28.608044482434302,DE (RMC),
point,RMC-7977 30 nM,-3.18054925818338,28.585898527294443,DE (RMC),
point,RMC-7977 30 nM,-3.08880359665844,28.499594451703473,DE (RMC),
point,RMC-7977 30 nM,-3.57741972865412,28.489346408733898,DE (RMC),
point,RMC-7977 30 nM,4.31030257956108,28.468858788536426,DE (RMC),
point,RMC-7977 30 nM,2.85352929746871,28.377688215639026,DE (RMC),
point,RMC-7977 30 nM,-6.6027564652092,28.362393364660015,DE (RMC),
point,RMC-7977 30 nM,-4.70520685979845,28.362393364660015,DE (RMC),
point,RMC-7977 30 nM,-2.89344599570511,28.309928461280755,DE (RMC),
point,RMC-7977 30 nM,-5.05835215607746,28.23377414706699,DE (RMC),
point,RMC-7977 30 nM,-3.42371429433371,28.23377414706699,DE (RMC),
point,RMC-7977 30 nM,-3.59039588605819,28.23377414706699,DE (RMC),
point,RMC-7977 30 nM,2.82995515110427,28.196981280466453,DE (RMC),
point,RMC-7977 30 nM,3.06625421437056,28.196981280466453,DE (RMC),
point,RMC-7977 30 nM,-2.28105343485733,28.18292425379605,DE (RMC),
point,RMC-7977 30 nM,-2.83990785990083,28.14092292287338,DE (RMC),
point,RMC-7977 30 nM,2.97090697427764,28.02607061454531,DE (RMC),
point,RMC-7977 30 nM,2.59180658008831,27.98050041780937,DE (RMC),
point,RMC-7977 30 nM,4.06210640742594,27.97966392631872,DE (RMC),
point,RMC-7977 30 nM,-2.73253483573761,27.9756175850339,DE (RMC),
point,RMC-7977 30 nM,-4.29936257507688,27.969184730824573,DE (RMC),
point,RMC-7977 30 nM,3.54993938597274,27.914543484197814,DE (RMC),
point,RMC-7977 30 nM,3.54751765816248,27.88938953347248,DE (RMC),
point,RMC-7977 30 nM,-2.7200138302953,27.888390422134666,DE (RMC),
point,RMC-7977 30 nM,-4.56641269085562,27.840746154241653,DE (RMC),
point,RMC-7977 30 nM,2.69455021101448,27.8368306913646,DE (RMC),
point,RMC-7977 30 nM,3.48363878818873,27.808376678083988,DE (RMC),
point,RMC-7977 30 nM,2.54307318294752,27.808376678083988,DE (RMC),
point,RMC-7977 30 nM,-4.46349783688734,27.808376678083988,DE (RMC),
point,RMC-7977 30 nM,4.69841056142698,27.764523736518743,DE (RMC),
point,RMC-7977 30 nM,-2.79465849900721,27.7487311735807,DE (RMC),
point,RMC-7977 30 nM,-2.61800828383332,27.69409660727995,DE (RMC),
point,RMC-7977 30 nM,-2.66535612904234,27.681069937192916,DE (RMC),
point,RMC-7977 30 nM,-2.5736229039864,27.679905933876352,DE (RMC),
point,RMC-7977 30 nM,-5.06526918775921,27.66008959294255,DE (RMC),
point,RMC-7977 30 nM,-3.0524296380502,27.659892841700753,DE (RMC),
point,RMC-7977 30 nM,-2.06093057898806,27.659227569804038,DE (RMC),
point,RMC-7977 30 nM,-2.94636151228622,27.640220733986535,DE (RMC),
point,RMC-7977 30 nM,-4.06057575049026,27.640220733986535,DE (RMC),
point,RMC-7977 30 nM,2.35106780592902,27.552391613126773,DE (RMC),
point,RMC-7977 30 nM,2.536598303976,27.508125894683708,DE (RMC),
point,RMC-7977 30 nM,-4.00473437474789,27.50642681720222,DE (RMC),
point,RMC-7977 30 nM,2.23131417428353,27.50642681720222,DE (RMC),
point,RMC-7977 30 nM,3.17069630473343,27.47968568373626,DE (RMC),
point,RMC-7977 30 nM,-4.0303837743773,27.475936606747165,DE (RMC),
point,RMC-7977 30 nM,3.6987389500533,27.432580741374746,DE (RMC),
point,RMC-7977 30 nM,-3.67476328890004,27.34672429919072,DE (RMC),
point,RMC-7977 30 nM,5.50934515979316,27.345038571424066,DE (RMC),
point,RMC-7977 30 nM,3.21047671008933,27.314658437463795,DE (RMC),
point,RMC-7977 30 nM,3.74522484396676,27.27062553643046,DE (RMC),
point,RMC-7977 30 nM,-4.2785193577162,27.189160065755626,DE (RMC),
point,RMC-7977 30 nM,4.10628461351194,27.164149730653673,DE (RMC),
point,RMC-7977 30 nM,-3.62879547578127,27.140488985698653,DE (RMC),
point,RMC-7977 30 nM,-2.62156927809813,27.125362220599737,DE (RMC),
point,RMC-7977 30 nM,2.34833504479633,27.105901422884433,DE (RMC),
point,RMC-7977 30 nM,3.77813984125777,27.098575418539546,DE (RMC),
point,RMC-7977 30 nM,1.950757432448,27.0748979785213,DE (RMC),
point,RMC-7977 30 nM,-4.89510039088939,27.016634716006447,DE (RMC),
point,RMC-7977 30 nM,2.35823162401219,27.01468463809345,DE (RMC),
point,RMC-7977 30 nM,-3.99020346729584,26.990912342305798,DE (RMC),
point,RMC-7977 30 nM,-2.8240727904354,26.94241956833682,DE (RMC),
point,RMC-7977 30 nM,-3.28721966468566,26.94160432362411,DE (RMC),
point,RMC-7977 30 nM,3.40841352959477,26.941242778962742,DE (RMC),
point,RMC-7977 30 nM,2.52873513037618,26.93672195123107,DE (RMC),
point,RMC-7977 30 nM,-3.12427545494786,26.929892017462528,DE (RMC),
point,RMC-7977 30 nM,2.17519504233506,26.913742064900624,DE (RMC),
point,RMC-7977 30 nM,-5.30974344842203,26.913734506736684,DE (RMC),
point,RMC-7977 30 nM,-4.31421098512534,26.911895819012692,DE (RMC),
point,RMC-7977 30 nM,-2.93555506028418,26.859416846204738,DE (RMC),
point,RMC-7977 30 nM,-4.1235429683774,26.761084059413662,DE (RMC),
point,RMC-7977 30 nM,3.35840941031357,26.75995255731254,DE (RMC),
point,RMC-7977 30 nM,-4.01697913408993,26.750590024717198,DE (RMC),
point,RMC-7977 30 nM,-4.84491533813368,26.714817780395144,DE (RMC),
point,RMC-7977 30 nM,2.14285916426382,26.70720877470952,DE (RMC),
point,RMC-7977 30 nM,-4.21801719540884,26.657448460936084,DE (RMC),
