layer,treatment,x,y,xmin,xmax,ymin,ymax,size
point,LNP Circuit,0,100,-18.07726140687701,18.07726140687701,99.30100258918928,100.69899741081072,0.3
point,LNP Circuit,8.000000000000005,93.02374010828822,5.59014580392201,10.409854196078001,91.71002500452391,94.33745521205253,0.8400000000000001
point,LNP Circuit,22.11934156378601,85.6143273635985,17.61857625697806,26.620106870593958,82.38271999431937,88.84593473287764,1.3800000000000001
point,LNP Circuit,9.008230452674894,40.79133694294045,-0.1950746459718058,18.211535551321596,37.62325574520454,43.959418140676355,1.9200000000000004
point,LNP Circuit,11.506172839506178,6.6897126197417744,0.23966012285817762,22.77268555615418,6.22894809640639,7.1504771430771585,2.46
point,LNP Circuit,20.329218106995885,2.660558100791337,9.651782191730382,31.006654022261387,2.4903895216321583,2.8307266799505157,3
point,RMC-7977,0,100,-9.891220323916512,9.891220323916512,98.40672090349739,101.59327909650261,0.3
point,RMC-7977,50.66953163926258,52.087901258899755,48.344365915539015,52.994697362986145,51.169216149479595,53.006586368319915,0.8400000000000001
point,RMC-7977,81.0133283507723,43.305166169840604,79.03407055508974,82.99258614645485,42.79583406011953,43.814498279561676,1.3800000000000001
point,RMC-7977,84.07666915794718,38.555344780862754,81.83750745154056,86.3158308643538,37.742964097343936,39.36772546438157,1.9200000000000004
point,RMC-7977,88.31682859990035,28.710797960138947,87.83749621079666,88.79616098900404,28.440669307489525,28.98092661278837,2.46
point,RMC-7977,89.6409441953164,20.923357394496318,89.22259930179251,90.05928908884027,20.342067783117717,21.50464700587492,3
point,Sotorasib,-3.552713678800501e-15,100,-1.194974533859057,1.1949745338590498,98.0390011313035,101.9609988686965,0.3
point,Sotorasib,1.6847726017308062,108.3185053380783,-4.847122269672142,8.216667473133754,107.76707135285329,108.8699393233033,0.8400000000000001
point,Sotorasib,15.561897747498922,100.5338078291815,5.001107739445734,26.122687755552107,98.7548191370805,102.3127965212825,1.3800000000000001
point,Sotorasib,65.80740195175842,77.04626334519574,63.45137954737507,68.16342435614177,75.33614093898466,78.75638575140682,1.9200000000000004
point,Sotorasib,74.34481065488247,61.080960854092524,72.0397333875635,76.64988792220143,59.91975272102719,62.24216898715786,2.46
point,Sotorasib,71.68109003866691,47.637900355871885,68.83747283496812,74.5247072423657,47.148367617111724,48.127433094632046,3
line,Sotorasib,0,101.7716204069256,,,,,
line,Sotorasib,100,45.03271644074147,,,,,
line,RMC-7977,0,100.3146824534951,,,,,
line,RMC-7977,100,17.070675034375714,,,,,
line,LNP Circuit,0,145.18696268883915,,,,,
line,LNP Circuit,100,-591.4834206031728,,,,,
