cell_line,treatment,days,viability,lower,upper
MIA PaCa-2,DMSO,0,100,89.23005649781139,110.76994350218861
MIA PaCa-2,Sotorasib,0,94.97303608161451,90.38452751987026,99.56154464335876
MIA PaCa-2,RMC-7977,0,94.28809695891476,89.13034915818784,99.44584475964169
MIA PaCa-2,Circuit,0,96.54861844665592,93.27313409637722,99.82410279693462
SW1573,DMSO,0,100,98.52172798358212,101.47827201641788
SW1573,Sotorasib,0,99.00029307369175,96.90952829034686,101.09105785703665
SW1573,RMC-7977,0,98.72187306652773,98.46628397957699,98.97746215347848
SW1573,Circuit,0,99.3291868833241,98.32064616184275,100.33772760480545
MIA PaCa-2,DMSO,0.71,179.39289486851615,172.65165559360264,186.13413414342966
MIA PaCa-2,Sotorasib,0.71,136.54417079001502,136.29729078857778,136.79105079145225
MIA PaCa-2,RMC-7977,0.71,120.94846277867349,119.654308376235,122.24261718111198
MIA PaCa-2,Circuit,0.71,113.59648635125367,112.54134952982447,114.65162317268287
SW1573,DMSO,0.71,171.42205867986584,170.23391481620288,172.6102025435288
SW1573,Sotorasib,0.71,157.4847764499007,154.9887532944537,159.9807996053477
SW1573,RMC-7977,0.71,141.67507896707804,141.42639769328812,141.92376024086795
SW1573,Circuit,0.71,63.445569702693014,52.78681399553052,74.1043254098555
MIA PaCa-2,DMSO,1.86,344.9002057041196,343.4346505363521,346.3657608718872
MIA PaCa-2,Sotorasib,1.86,154.7373102796464,149.8327324166991,159.64188814259373
MIA PaCa-2,RMC-7977,1.86,89.90604325346084,89.22830261257263,90.58378389434904
MIA PaCa-2,Circuit,1.86,40.47033968977595,38.59751114384127,42.34316823571063
SW1573,DMSO,1.86,218.0354293529584,199.84255209171607,236.22830661420073
SW1573,Sotorasib,1.86,190.704679409945,168.52829655929,212.88106226059998
SW1573,RMC-7977,1.86,160.82907291022175,144.75228908058068,176.90585673986283
SW1573,Circuit,1.86,9.554202351102283,9.084471056165764,10.023933646038802
MIA PaCa-2,DMSO,2.87,434.9697003391338,407.62734705893877,462.3120536193288
MIA PaCa-2,Sotorasib,2.87,161.0363039973314,154.72749784595445,167.34511014870836
MIA PaCa-2,RMC-7977,2.87,72.33112803691554,72.09053797182067,72.57171810201042
MIA PaCa-2,Circuit,2.87,9.396786568076944,9.156196502982061,9.637376633171828
SW1573,DMSO,2.87,347.19463349506657,319.4436454236208,374.94562156651233
SW1573,Sotorasib,2.87,299.267315770621,288.7398085135143,309.7948230277277
SW1573,RMC-7977,2.87,213.8167963789117,207.90370831324023,219.72988444458318
SW1573,Circuit,2.87,5.449542479403433,4.618302295716749,6.2807826630901165
MIA PaCa-2,DMSO,4.57,583.7315839217213,580.0409637728475,587.4222040705951
MIA PaCa-2,Sotorasib,4.57,246.79601934730638,246.12299615867494,247.46904253593783
MIA PaCa-2,RMC-7977,4.57,89.49908267081781,82.7955830139584,96.20258232767722
MIA PaCa-2,Circuit,4.57,10.910101740145661,10.413196769100018,11.407006711191304
SW1573,DMSO,4.57,579.2536389983393,575.1503979808056,583.356880015873
SW1573,Sotorasib,4.57,522.8955680745058,514.8180318851073,530.9731042639044
SW1573,RMC-7977,4.57,329.7697743332574,301.92207687756,357.61747178895473
SW1573,Circuit,4.57,18.308964798593248,6.66008920504496,29.957840392141534
